[2021-10-05T12:26:26.928246+00:00] main.INFO: First message [] []
[2021-10-05T12:26:26.931672+00:00] main.DEBUG: Second message [] []
[2021-10-05T12:26:28.493213+00:00] main.INFO: First message [] []
[2021-10-05T12:26:28.494514+00:00] main.DEBUG: Second message [] []
[2021-10-05T12:26:28.900718+00:00] main.INFO: First message [] []
[2021-10-05T12:26:28.902005+00:00] main.DEBUG: Second message [] []
[2021-10-05T12:27:13.591386+00:00] main.INFO: First message [] []
[2021-10-05T12:27:13.592613+00:00] main.DEBUG: Second message [] []
[2021-10-05T12:27:22.441143+00:00] main.INFO: First message [] []
[2021-10-05T12:27:22.442536+00:00] main.DEBUG: Second message [] []
[2021-10-05T12:27:22.774487+00:00] main.INFO: First message [] []
[2021-10-05T12:27:22.775657+00:00] main.DEBUG: Second message [] []
[2021-10-05T12:27:22.910716+00:00] main.INFO: First message [] []
[2021-10-05T12:27:22.911775+00:00] main.DEBUG: Second message [] []
[2021-10-05T12:28:27.875951+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:39:21.377917+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:39:21.646280+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:39:22.252804+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:39:23.557620+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:46:16.032187+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:50:00.435462+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:50:00.815101+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:50:00.975125+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:50:01.094947+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:51:14.864479+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:51:15.326346+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:51:15.462711+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:52:43.466742+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:52:43.846019+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:52:43.981446+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:52:53.854136+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:52:54.245717+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:52:54.373897+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:55:47.432671+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T12:55:47.925282+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:11:46.158084+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:11:46.609336+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:11:46.777440+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:11:46.921338+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:11:47.057530+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:11:47.193408+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:11:47.313277+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:13:29.370332+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:13:30.169254+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:14:14.419428+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:14:15.208720+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:15:50.291883+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:16:15.497996+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:17:01.393156+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:18:15.107582+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:18:36.916956+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:18:54.334519+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:19:29.654930+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:19:43.998640+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:20:09.281099+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:22:41.621066+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:23:33.517932+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:23:44.675906+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:27:44.845579+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:27:55.281052+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:29:03.508103+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:30:57.493469+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:31:06.522074+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:38:13.290514+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:38:33.777457+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:38:39.847317+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:54:08.872728+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:54:16.596613+00:00] main.INFO: Démarrage du logiciel [] []
[2021-10-05T13:55:42.895489+00:00] main.INFO: Démarrage du logiciel [] []
